STANOX,NAME,CRS,LAT,LON
83009,Taunton,TAU,51.0250,-3.1015
83010,Cogload Junction,,51.0480,-3.0760
83011,Norton Fitzwarren,,51.0150,-3.1500
83028,Whiteball,,50.9400,-3.3300
83038,Tiverton Parkway,TVP,50.9170,-3.3640
83109,Tiverton Junction,,50.9050,-3.3540
83398,Cowley Bridge Junction,,50.7430,-3.5510
83421,Exeter St Davids,EXD,50.7290,-3.5435
83517,Exeter St Thomas,EXT,50.7160,-3.5380
83602,Starcross,SCS,50.6280,-3.4490
83603,Dawlish Warren,DWW,50.5990,-3.4430
83605,Dawlish,DWL,50.5810,-3.4660
83607,Teignmouth,TGM,50.5470,-3.4960
83624,Newton Abbot,NTA,50.5290,-3.6000
83625,Newton Abbot West Junction,,50.5270,-3.6100
83699,Dainton Tunnel,,50.5080,-3.6600
83702,Totnes,TOT,50.4255,-3.6888
83704,Rattery,,50.4290,-3.7900
84060,Aish (South Brent),,50.4250,-3.8400
84067,Ivybridge,IVY,50.3917,-3.9136
84075,Hemerdon,,50.3850,-4.0200
84081,Plymouth Tavistock Junction,,50.3950,-4.0850
84089,Laira Junction,,50.3780,-4.1050
84095,Mount Gould Junction,,50.3760,-4.1150
84135,Lipson Junction,,50.3750,-4.1250
84139,Plymouth,PLY,50.3779,-4.1426
83627,Torre,TRR,50.4719,-3.5402
83628,Torquay,TQY,50.4540,-3.5436
83431,Exeter Central,EXC,50.7250,-3.5320
83435,St James Park,SJP,50.7273,-3.5165
83441,Exmouth Junction,,50.7280,-3.5100
83447,Polsloe Bridge,POL,50.7310,-3.5060
83471,Topsham,TOP,50.6870,-3.4640
